n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,simple_rule_r2,LGBMRegressor_1pct_r2,XGBRegressor_1pct_r2,RandomForestRegressor_1pct_r2,DecisionTreeRegressor_1pct_r2,HistGradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_1pct_r2,MLPRegressor_1pct_r2,BayesianRidge_1pct_r2,LinearRegression_1pct_r2,SVR_1pct_r2,TabPFNRegressor_1pct_r2,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,TabPFNRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,GradientBoostingRegressor_rank,HistGradientBoostingRegressor_rank,MLPRegressor_rank,LinearRegression_rank,LGBMRegressor_rank,DecisionTreeRegressor_rank
14,1142,2.708050201,7.041411664,81.57142857,0.2012164286,0.3219449002,1.804491906,1.625964528,30.68021879,986.3176879,0.3931176072,1,-0.05640079334,-0.2353976299,-12.97795848,,,,,,,,,,,,12.74256085,0,0,0,9,5,3,1,8,2,4,11,10,6,7
22,110,3.135494216,4.709530201,5,0.6001765909,0.2694524665,-0.6364665541,-0.3114175444,0.398053748,4.253846159,0.6176943413,1,-0.04277061757,-0.06794698687,0.6500510392,,,,,,,,,,,,-0.7179980261,0,0,0,1,2,6,5,8,7,9,11,3,10,4
10,1142,2.397895273,7.041411664,114.2,0.1992439,0.3060068078,1.758241279,1.861377354,16.96635574,343.0632854,0.439076232,1,-0.1657046823,-0.007736397268,-0.3587402594,,,,,,,,,,,,0.3510038621,0,0,0,9,5,6,7,8,2,4,11,10,3,1
8885,251,9.092232283,5.529429088,0.02824985931,0.9194261705,0.02975111462,-2.226589632,103.267448,9.847204322,99.77250927,0.02992569959,1,-0.00183377071,0.01028379589,0.009969684756,-0.1276752698,-0.1541644858,-0.08322654068,-0.3855066787,-0.1669531463,-0.1699782824,-3361.775935,0.001450347641,-54.19887639,-0.5891586145,0.001885802297,0.0003141111344,0,1,0,6,2,1,9,8,4,5,11,7,3,10
13,1142,2.63905733,7.041411664,87.84615385,0.09392169231,0.2635462361,3.094519878,7.758184374,13.55270203,194.1051137,0.3496629945,1,-0.2740423071,-0.3419745175,-1.227481937,,,,,,,,,,,,0.8855074192,0,0,0,2,6,7,3,10,8,5,11,1,4,9
34,1142,3.555348061,7.041411664,33.58823529,0.09013708824,0.2212873929,3.501672125,10.83309118,20.92534275,499.6849118,0.2130129229,1,-0.3611043953,-0.2372134543,-195.5601645,,,,,,,,,,,,195.3229511,0,0,0,9,4,2,6,7,1,3,11,10,5,8
22,628,3.135494216,6.444131257,28.54545455,0.6001765909,0.2694524665,-0.6364665541,-0.3114175444,23.92067167,586.43947,0.3890454249,1,-0.04277061757,-0.141110794,0.5617709415,,,,,,,,,,,,-0.7028817355,0,0,0,4,8,2,6,3,1,7,11,5,9,10
32,1142,3.496507561,7.041411664,35.6875,0.1517359688,0.270498734,2.2994138,4.032099775,25.98170213,756.9096263,0.3036068418,1,-0.09439535557,-1.357288647,-49.31605187,,,,,,,,,,,,47.95876322,0,0,0,9,6,1,2,7,3,5,11,10,4,8
31,53,3.465735903,3.988984047,1.709677419,0.5278638387,0.2805544588,-0.4330537503,-0.8400674704,5.639370417,34.38260055,0.2801010852,0.9996711163,-0.06000408585,0.3905428635,-49.66676057,,,,,,,,,,,,50.05730343,1,0,0,6,1,2,4,3,5,9,10,11,8,7
8885,266,9.092232283,5.587248658,0.02993809792,0.9194261705,0.02975111462,-2.226589632,103.267448,9.589858248,95.55423855,0.3659792279,1,-0.00183377071,0.01912991346,-0.0147730101,-0.1652318564,-0.6237075193,-0.1727361573,-1.104848122,-0.2087643728,-0.4300392448,-84679.37774,-564.4523531,-39970337.94,-0.2365797047,-0.0001238219243,0.03390292356,0,1,0,2,1,4,9,8,3,6,11,7,5,10
